Time,Country Name,Labour force participation rate,Female labour force participation rate,Male labour force participation rate
2021,Lao PDR,76.43399811,74.78500366,78.09300232
2021,Latvia,60.06499863,54.54199982,66.82700348
2021,Lebanon,42.47200012,20.75,64.33200073
2021,Lesotho,63.56000137,56.07099915,71.34300232
2021,Liberia,74.73100281,69.78199768,79.71700287
2021,Libya,47.57899857,34.11899948,60.96900177
2021,Liechtenstein,..,..,..
2021,Lithuania,62.11199951,57.33800125,67.86499786
2021,Luxembourg,62.04800034,58.48099899,65.54399872
2021,"Macao SAR, China",68.99900055,65.81900024,72.51000214
2021,Madagascar,84.53299713,81.53099823,87.59500122
2021,Malawi,75.63200378,71.55899811,79.95300293
2021,Malaysia,64.72000122,51.18799973,77.5510025
2021,Maldives,56.16699982,34.32600021,67.4940033
2021,Mali,68.55999756,57.6780014,79.67299652
2021,Malta,62.23199844,53.08399963,71.41300201
2021,Marshall Islands,..,..,..
2021,Mauritania,44.74200058,27.39599991,62.18999863
2021,Mauritius,56.64899826,43.40399933,70.44799805
2021,Mexico,59.0320015,43.80899811,75.41500092
2021,"Micronesia, Fed. Sts.",..,..,..
2021,Moldova,38.6230011,33.8769989,43.93199921
2021,Monaco,..,..,..
2021,Mongolia,58.82300186,51.49499893,66.5719986
2021,Montenegro,54.75299835,47.81700134,62.00600052
2021,Morocco,43.56000137,22.00900078,65.94999695
2021,Mozambique,78.26100159,77.65699768,78.93099976
2021,Myanmar,54.74000168,40.98699951,69.96199799
2021,Namibia,58.17399979,54.5320015,62.18099976
2021,Nauru,..,..,..
2021,Nepal,79.61399841,78.69100189,80.77200317
2021,Netherlands,66.84100342,62.44400024,71.31500244
2021,New Caledonia,62.91199875,57.43500137,68.39199829
2021,New Zealand,70.06099701,65.07499695,75.33000183
2021,Nicaragua,63.51699829,46.8030014,81.2990036
2021,Niger,72.93399811,61.72999954,84.26699829
2021,Nigeria,53.80199814,47.93000031,59.5909996
2021,North Macedonia,52.85699844,42.39699936,63.44400024
2021,Northern Mariana Islands,..,..,..
2021,Norway,66.16899872,60.29399872,71.94999695
2021,Oman,68.23200226,28.72100067,85.04199982
2021,Pakistan,50.11800003,20.72699928,78.07900238
2021,Palau,..,..,..
2021,Panama,61.4070015,50.38999939,72.5719986
2021,Papua New Guinea,47.21099854,46.25400162,48.13999939
2021,Paraguay,72.08999634,59.63600159,84.21399689
2021,Peru,73.88600159,66.06900024,81.875
2021,Philippines,56.00899887,43.83599854,68.30200195
2021,Poland,57.00899887,49.20000076,65.48899841
2021,Portugal,57.82300186,53.97499847,62.20800018
2021,Puerto Rico,40.32500076,32.28900146,49.51399994
2021,Qatar,87.29699707,57.21500015,95.45600128
2021,Romania,52.19800186,42.79499817,62.34000015
2021,Russian Federation,61.3769989,54.48899841,69.71700287
2021,Rwanda,82.36699677,82.50099945,82.22599792
2021,Samoa,42.86100006,30.70000076,54.23699951
2021,San Marino,..,..,..
2021,Sao Tome and Principe,53.40499878,37.13700104,69.87599945
2021,Saudi Arabia,60.51499939,30.93700027,80.14600372
2021,Senegal,44.53499985,33.50999832,56.72900009
2021,Serbia,54.20700073,46.61800003,62.27199936
2021,Seychelles,..,..,..
2021,Sierra Leone,56.00600052,56.08599854,55.92499924
2021,Singapore,68.54199982,59.40599823,76.82800293
2021,Sint Maarten (Dutch part),..,..,..
2021,Slovak Republic,60.37400055,54.74300003,66.41500092
2021,Slovenia,57.93500137,53.76300049,62.18799973
2021,Solomon Islands,85.2440033,83.05699921,87.39800262
2021,Somalia,33.79399872,20.90099907,46.97800064
2021,South Africa,52.87099838,46.2120018,59.88299942
2021,South Sudan,71.99700165,70.44000244,73.5739975
2021,Spain,57.4109993,52.65399933,62.41199875
2021,Sri Lanka,48.59799957,30.89699936,68.49500275
2021,St. Kitts and Nevis,..,..,..
2021,St. Lucia,68.08399963,63.15800095,73.22799683
2021,St. Martin (French part),..,..,..
2021,St. Vincent and the Grenadines,63.65200043,52.9129982,74.09999847
2021,Sudan,48.0359993,28.65299988,67.81900024
2021,Suriname,54.18899918,43.44900131,65.06500244
2021,Sweden,64.81999969,61.65100098,68.00900269
2021,Switzerland,67.14499664,61.72800064,72.70500183
2021,Syrian Arab Republic,43.00899887,15.71500015,70.76699829
2021,Tajikistan,40.32500076,30.20999908,50.5340004
2021,Tanzania,83.27799988,79.52799988,87.09799957
2021,Thailand,66.70200348,58.99200058,75.02700043
2021,Timor-Leste,66.64900208,60.98699951,72.23999786
2021,Togo,57.4090004,55.48799896,59.36899948
2021,Tonga,46.11899948,37.29199982,55.26300049
2021,Trinidad and Tobago,57.0929985,46.65100098,67.96099854
2021,Tunisia,45.90200043,25.49300003,67.15000153
2021,Turkiye,50.18399811,31.84300041,69.40699768
2021,Turkmenistan,45.79399872,36.54000092,55.59000015
2021,Turks and Caicos Islands,..,..,..
2021,Tuvalu,..,..,..
2021,Uganda,67.62200165,64.17199707,71.30599976
2021,Ukraine,55.11700058,48.09799957,63.56700134
2021,United Arab Emirates,76.42700195,46.54199982,88.00299835
2021,United Kingdom,62.48199844,58.04399872,67.09100342
2021,United States,60.73300171,55.22700119,66.43699646
2021,Uruguay,61.67100143,54.77799988,69.25
2021,Uzbekistan,57.72299957,44.89799881,70.91600037
2021,Vanuatu,68.87599945,59.72100067,78.0059967
2021,"Venezuela, RB",50.57699966,34.34799957,67.81300354
2021,Vietnam,74.4469986,69.63700104,79.43699646
2021,Virgin Islands (U.S.),49.38100052,40.6969986,59.30500031
2021,West Bank and Gaza,41.70000076,16.66699982,66.28600311
2021,"Yemen, Rep.",36.80400085,5.994999886,67.63700104
2021,Zambia,73.43399811,69.23000336,77.84700012
2021,Zimbabwe,83.73600006,79.30799866,88.93299866
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
