Time,Country Name,Labour force participation rate,Female labour force participation rate,Male labour force participation rate
2021,Puerto Rico,40.33,32.29,49.51
2021,Qatar,87.30,57.22,95.46
2021,Romania,52.20,42.79,62.34
2021,Russia,61.38,54.49,69.72
2021,Rwanda,82.37,82.50,82.23
2021,Samoa,42.86,30.70,54.24
2021,San Marino,..,..,..
2021,Sao Tome and Principe,53.40,37.14,69.88
2021,Saudi Arabia,60.51,30.94,80.15
2021,Senegal,44.53,33.51,56.73
2021,Serbia,54.21,46.62,62.27
2021,Seychelles,..,..,..
2021,Sierra Leone,56.01,56.09,55.92
2021,Singapore,68.54,59.41,76.83
2021,Sint Maarten (Dutch part),..,..,..
2021,Slovak Republic,60.37,54.74,66.42
2021,Slovenia,57.94,53.76,62.19
2021,Solomon Islands,85.24,83.06,87.40
2021,Somalia,33.79,20.90,46.98
2021,South Africa,52.87,46.21,59.88
2021,South Sudan,72.00,70.44,73.57
2021,Spain,57.41,52.65,62.41
2021,Sri Lanka,48.60,30.90,68.50
2021,St. Kitts and Nevis,..,..,..
2021,St. Lucia,68.08,63.16,73.23
2021,St. Martin (French part),..,..,..
2021,St. Vincent and the Grenadines,63.65,52.91,74.10
2021,Sudan,48.04,28.65,67.82
2021,Suriname,54.19,43.45,65.07
2021,Sweden,64.82,61.65,68.01
2021,Switzerland,67.14,61.73,72.71
2021,Syria,43.01,15.72,70.77
2021,Tajikistan,40.33,30.21,50.53
2021,Tanzania,83.28,79.53,87.10
2021,Thailand,66.70,58.99,75.03
2021,Timor-Leste,66.65,60.99,72.24
2021,Togo,57.41,55.49,59.37
2021,Tonga,46.12,37.29,55.26
2021,Trinidad and Tobago,57.09,46.65,67.96
2021,Tunisia,45.90,25.49,67.15
2021,Turkey,50.18,31.84,69.41
2021,Turkmenistan,45.79,36.54,55.59
2021,Turks and Caicos Islands,..,..,..
2021,Tuvalu,..,..,..
2021,Uganda,67.62,64.17,71.31
2021,Ukraine,55.12,48.10,63.57
2021,United Arab Emirates,76.43,46.54,88.00
2021,United Kingdom,62.48,58.04,67.09
2021,United States of America,60.73,55.23,66.44
2021,Uruguay,61.67,54.78,69.25
2021,Uzbekistan,57.72,44.90,70.92
2021,Vanuatu,68.88,59.72,78.01
2021,Venezuela,50.58,34.35,67.81
2021,Vietnam,74.45,69.64,79.44
2021,Virgin Islands (U.S.),49.38,40.70,59.31
2021,Palestine,41.70,16.67,66.29
2021,"Yemen, Rep.",36.80,5.99,67.64
2021,Zambia,73.43,69.23,77.85
2021,Zimbabwe,83.74,79.31,88.93
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
