Series Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Inflation (annual %),3.515575768,2.786797458,4.07534336,-0.287813084,1.799864577,3.196101888,2.446127824,1.408581092,-0.151114838,-0.50036571,-0.202598
Final consumption expenditure (annual % growth),4.191962211,4.046021887,0.869294297,-1.673441597,0.675495185,-1.804949319,-3.550657493,-2.700817869,1.090319966,2.700373456,2.266210385
